Mark;Site;Longit_d;Latit_d;Altit_d;X_m;Y_m;Z_m;Country;Section
RSO6;RSON;75.37032;41.75988;3005.321;1204016.226;4612489.968;4227748.162;Kyrgyzstan;
RSR4;RSRB;75.73191;41.69715;2419.434;1175918.869;4624069.091;4222156.067;Kyrgyzstan;
RSRB;RSRB;75.73190;41.69718;2420.320;1175918.927;4624067.911;4222158.944;Kyrgyzstan;
RSR5;RSRB;75.73189;41.69723;2421.684;1175919.442;4624064.679;4222164.306;Kyrgyzstan;
RSR6;RSRB;75.73187;41.69732;2421.134;1175918.888;4624057.659;4222171.268;Kyrgyzstan;
RTAM;RTAM;77.49635;42.06971;2220.611;1026967.746;4630958.355;4252842.911;Kazakhstan;
RTA1;RTAM;77.49636;42.06971;2220.849;1026967.729;4630958.532;4252843.095;Kazakhstan;
RTA4;RTAM;77.49644;42.06973;2222.174;1026961.213;4630959.855;4252845.186;Kazakhstan;
RTC4;RTCH;70.39135;39.86368;1972.991;1645731.718;4619542.580;4067643.276;Kyrgyzstan;
RTC5;RTCH;70.39134;39.86369;1972.971;1645731.950;4619541.539;4067644.326;Kyrgyzstan;
RTCH;RTCH;70.39135;39.86372;1972.688;1645730.034;4619539.208;4067647.283;Kyrgyzstan;
RTEN;RTEN;80.86600;46.08138;753.705;703606.137;4376128.274;4572069.759;Kazakhstan;
TEN5;RTEN;80.86608;46.08139;754.059;703599.653;4376129.004;4572070.550;Kazakhstan;
TEN4;RTEN;80.86609;46.08142;754.388;703599.316;4376127.329;4572072.647;Kazakhstan;
RTE7;RTER;74.58554;40.38339;2923.805;1293767.954;4692371.082;4112399.593;Kazakhstan;
RTE4;RTER;74.58557;40.38339;2924.652;1293766.420;4692372.628;4112399.635;Kazakhstan;
RTER;RTER;74.58557;40.38342;2922.992;1293765.704;4692368.846;4112401.576;Kazakhstan;
RTR4;RTRL;72.66708;42.70639;2164.453;1398967.485;4482493.126;4305058.415;Kazakhstan;
RTS1;RTSS;78.90556;42.54760;2278.046;905898.993;4619779.491;4292151.720;Kyrgyzstan;
RTS4;RTSS;78.90549;42.54762;2277.688;905904.521;4619776.469;4292153.279;Kyrgyzstan;
RYB4;RYBA;76.10255;42.52326;2149.824;1131149.603;4571634.656;4290072.356;Kazakhstan;
RYBA;RYBA;76.10240;42.52331;2150.563;1131161.626;4571628.201;4290076.834;Kazakhstan;
RYB5;RYBA;76.10225;42.52338;2151.215;1131171.841;4571621.002;4290082.999;Kazakhstan;
RYB6;RYBA;76.10214;42.52345;2152.125;1131179.484;4571614.215;4290089.525;Kazakhstan;
RYB7;RYBA;76.10213;42.52346;2151.767;1131179.067;4571613.099;4290090.321;Kazakhstan;
SAK4;SAK4;76.71455;42.24971;1591.288;1086868.469;4602996.489;4267245.260;Kyrgyzstan;
SAN6;SAND;70.88127;41.69656;1541.819;1562511.562;4507495.877;4221523.785;Kyrgyzstan;
SAN5;SAND;70.88112;41.69658;1541.929;1562522.332;4507490.683;4221525.501;Kyrgyzstan;
SAND;SAND;70.88100;41.69665;1542.100;1562530.421;4507482.871;4221531.162;Kyrgyzstan;
SAN4;SAND;70.88102;41.69669;1542.636;1562528.258;4507480.891;4221534.801;Kyrgyzstan;
SAN1;SANZ;68.24618;39.69385;1942.404;1821962.966;4565890.557;4053125.483;Kazakhstan;
SARM;SARM;85.79375;49.19272;940.291;306359.359;4165599.739;4805304.520;Kazakhstan;
SAR4;SARM;85.79373;49.19274;940.348;306361.091;4165598.358;4805305.676;Kazakhstan;
SAR5;SARM;85.79375;49.19276;940.185;306359.372;4165596.162;4805307.459;Kazakhstan;
SAY4;SARY;71.70057;40.77365;350.723;1518834.989;4592680.678;4143648.221;Uzbekistan;
SARY;SARY;71.70065;40.77368;350.881;1518827.909;4592681.194;4143650.466;Uzbekistan;
SAS6;SASH;78.97242;42.75110;1962.426;897533.160;4605567.275;4308570.647;Kyrgyzstan;
SASH;SASH;78.97241;42.75116;1963.069;897533.403;4605563.515;4308575.792;Kyrgyzstan;
SAS4;SASH;78.97238;42.75119;1963.865;897535.066;4605560.906;4308579.140;Kyrgyzstan;
SAS5;SASH;78.97235;42.75124;1965.034;897537.040;4605557.651;4308583.908;Kyrgyzstan;
SATY;SATY;78.40838;43.05680;1465.550;938107.495;4573498.236;4333115.044;Kazakhstan;
SE05;SATY;78.40838;43.05680;1465.553;938107.543;4573498.244;4333115.043;Kazakhstan;
SBA4;SBAN;80.11685;42.50337;2555.459;808642.642;4641371.565;4288716.934;Kazakhstan;
SDY4;SDYK;74.15246;42.05205;1869.680;1295626.402;4564185.554;4251150.864;Kyrgyzstan;
SDYK;SDYK;74.15249;42.05211;1869.872;1295622.419;4564182.715;4251155.595;Kyrgyzstan;
SDYT;SDYT;81.18570;47.38058;1181.771;663105.805;4276341.951;4671387.085;Kazakhstan;
SDT5;SDYT;81.18572;47.38059;1182.259;663104.470;4276341.052;4671388.752;Kazakhstan;
SDT4;SDYT;81.18572;47.38062;1182.517;663103.747;4276339.169;4671390.917;Kazakhstan;
SE01;SE01;76.79557;43.22949;738.343;1063338.718;4531992.273;4346618.492;Kazakhstan;
SE02;SE02;76.61029;43.03602;1664.705;1081549.259;4543485.593;4331563.619;Kazakhstan;
SE03;SE03;77.04679;43.16343;1564.442;1044719.397;4542094.057;4341833.140;Kazakhstan;
SEL2;SE03;77.04694;43.16381;1580.694;1044702.795;4542080.848;4341874.587;Kazakhstan;
SE04;SE04;78.16869;43.48801;771.355;950393.986;4536893.082;4367525.852;Kazakhstan;
SE07;SE07;77.63341;43.30894;1289.249;995746.198;4541537.767;4353423.964;Kazakhstan;
SE08;SE08;77.11247;43.23070;1436.722;1038349.824;4538210.559;4347194.584;Kazakhstan;
SE09;SE09;76.99759;43.85394;502.582;1036560.153;4488974.604;4396750.988;Kazakhstan;
SE11;SE11;76.42663;43.12981;1122.873;1094343.380;4532690.809;4338805.471;Kazakhstan;
SELE;SELE;77.01690;43.17873;1342.006;1046790.876;4540256.764;4342920.584;Kazakhstan;
SEMI;SEMI;85.62647;51.01417;1488.329;306691.727;4010030.779;4935693.472;Kyrgyzstan;
SEM4;SEMS;76.04539;42.27524;1915.621;1140149.569;4588370.393;4269563.169;Kyrgyzstan;
SEMS;SEMS;76.04540;42.27529;1915.413;1140147.481;4588367.147;4269566.888;Kyrgyzstan;
SEX4;SEXE;78.74166;43.89988;626.784;898784.480;4515060.155;4400517.166;Kazakhstan;
SGD4;SGD4;78.81304;43.42999;1130.825;900224.116;4551900.087;4363093.631;Kazakhstan;
SHB5;SHAB;72.07949;39.86060;1610.503;1508910.364;4665963.387;4067148.752;Kyrgyzstan;
SHB4;SHAB;72.07963;39.86064;1610.121;1508898.178;4665964.135;4067151.780;Kyrgyzstan;
SHAB;SHAB;72.07951;39.86065;1609.674;1508907.505;4665959.640;4067152.778;Kyrgyzstan;
SHAC;SHAC;77.24778;38.41191;1178.384;1104796.228;4881617.715;3942104.014;China;
SHAL;SHAL;82.54949;49.47044;624.701;538546.736;4118149.646;4825195.830;Kazakhstan;
SAL5;SHAL;82.54952;49.47046;625.006;538544.139;4118148.661;4825197.357;Kazakhstan;
SAL4;SHAL;82.54948;49.47047;625.116;538547.063;4118147.167;4825198.441;Kazakhstan;
SHA6;SHAM;75.39747;42.62205;1476.166;1185322.874;4549702.235;4297700.507;Kazakhstan;
SHAM;SHAM;75.39743;42.62207;1475.979;1185326.617;4549700.062;4297701.836;Kazakhstan;
SHA4;SHAM;75.39740;42.62210;1475.822;1185328.485;4549697.130;4297704.117;Kazakhstan;
SHA5;SHAM;75.39743;42.62212;1475.837;1185325.258;4549696.575;4297705.635;Kazakhstan;
SHA1;SHAS;75.31547;42.62071;2171.544;1191988.883;4548593.607;4298062.053;Kazakhstan;
SHAS;SHAS;75.31547;42.62071;2171.521;1191988.832;4548593.610;4298062.034;Kazakhstan;
SHY4;SHAY;72.78861;41.30158;1566.478;1420230.053;4584794.541;4188675.984;Kazakhstan;
SHY5;SHAY;72.78865;41.30159;1566.854;1420226.293;4584795.037;4188677.285;Kazakhstan;
SHAY;SHAY;72.78877;41.30160;1565.530;1420216.684;4584796.385;4188677.087;Kazakhstan;
SHEB;SHEB;83.59015;49.82798;822.999;460294.957;4097259.054;4851097.448;Kazakhstan;
HEB4;SHEB;83.59017;49.82799;823.026;460293.268;4097258.465;4851098.134;Kazakhstan;
HEB5;SHEB;83.59020;49.82799;822.884;460290.737;4097258.776;4851097.949;Kazakhstan;
SHD4;SHEL;80.48716;43.25071;2668.274;769302.200;4590846.295;4349658.166;Kazakhstan;
SHE6;SHET;78.93554;43.68957;895.417;886642.764;4534139.171;4383833.925;Kazakhstan;
SHE4;SHET;78.93551;43.68959;895.517;886644.403;4534136.917;4383836.057;Kazakhstan;
SHET;SHET;78.93561;43.68959;896.830;886637.425;4534139.589;4383836.850;Kazakhstan;
SHE5;SHET;78.93552;43.68960;895.532;886644.085;4534136.741;4383836.325;Kazakhstan;
SHIL;SHIL;71.53202;42.45381;1250.962;1493289.673;4471274.624;4283775.204;Kyrgyzstan;
SHI5;SHIL;71.53199;42.45383;1251.268;1493292.297;4471272.937;4283776.435;Kyrgyzstan;
SHI4;SHIL;71.53201;42.45383;1251.068;1493290.652;4471273.285;4283776.398;Kyrgyzstan;
SHI6;SHIL;71.53198;42.45384;1251.175;1493292.378;4471272.152;4283777.088;Kyrgyzstan;
SHL4;SHL4;79.30397;42.86810;2016.039;869234.506;4602040.844;4318145.080;Kazakhstan;
SHN5;SHN4;71.33766;40.98458;547.137;1543035.335;4568585.791;4161486.849;Uzbekistan;
SHN4;SHN4;71.33770;40.98458;547.161;1543032.082;4568587.389;4161486.346;Uzbekistan;
SHO4;SHOL;80.06095;43.19683;2268.165;804088.216;4588748.856;4345020.774;Kazakhstan;
SHOL;SHOL;80.06082;43.19684;2266.780;804098.082;4588745.448;4345020.526;Kazakhstan;
SHR4;SHR4;75.48148;41.46691;2046.194;1200303.854;4635050.538;4202774.247;Kyrgyzstan;
SHR5;SHR4;75.48148;41.46695;2046.168;1200303.997;4635047.872;4202777.088;Kyrgyzstan;
SHTZ;SHTZ;68.12278;37.56210;405.840;1886393.190;4697947.201;3867277.242;Tajikistan;
SJK4;SJKU;77.95931;42.09482;2464.726;989164.437;4637453.746;4255076.871;Kyrgyzstan;
SJKU;SJKU;77.95933;42.09485;2464.325;989161.849;4637451.264;4255079.548;Kyrgyzstan;
SKA5;SKAR;72.91987;42.41034;1906.868;1385656.431;4509708.611;4280652.627;Kyrgyzstan;
SKAR;SKAR;72.91984;42.41035;1907.773;1385658.683;4509707.625;4280654.329;Kyrgyzstan;
SKA4;SKAR;72.91981;42.41037;1907.432;1385660.675;4509705.743;4280655.007;Kyrgyzstan;
SKA6;SKAR;72.91994;42.41041;1907.584;1385649.122;4509706.029;4280658.735;Kyrgyzstan;
SKR4;SKRA;79.32169;42.60409;2557.490;871574.637;4622265.119;4296963.799;Kyrgyzstan;
SKT4;SKTT;76.35382;42.24627;1820.920;1115927.278;4596476.815;4267117.411;Kyrgyzstan;
SKTT;SKTT;76.35384;42.24630;1820.799;1115925.314;4596475.514;4267119.108;Kyrgyzstan;
SLPN;SLPN;83.49066;49.54122;390.920;470133.955;4120341.097;4830130.206;Kazakhstan;
SLP5;SLPN;83.49069;49.54122;391.003;470131.649;4120341.022;4830130.615;Kazakhstan;
SLP4;SLPN;83.49068;49.54124;390.820;470132.364;4120339.422;4830131.651;Kazakhstan;
SME5;SMEK;75.77145;40.47545;3677.423;1194886.016;4712269.136;4120673.772;Kyrgyzstan;
SMEK;SMEK;75.77147;40.47547;3677.235;1194884.447;4712267.935;4120675.299;Kyrgyzstan;
SME4;SMEK;75.77149;40.47549;3677.344;1194882.485;4712267.589;4120676.430;Kyrgyzstan;
SMO4;SMON;77.62671;41.91808;3050.617;1018977.430;4644896.310;4240875.753;Kyrgyzstan;
SOK5;SOK4;74.23102;42.57919;1578.160;1278592.207;4527804.146;4294264.449;Kyrgyzstan;
SOK4;SOK4;74.23098;42.57920;1578.599;1278595.199;4527803.498;4294264.895;Kyrgyzstan;
SON4;SONG;75.42286;41.91406;3418.299;1196987.694;4602829.831;4240788.715;Kyrgyzstan;
SON6;SONG;75.42290;41.91408;3417.996;1196983.061;4602828.929;4240790.484;Kyrgyzstan;
SON5;SONG;75.42287;41.91415;3416.615;1196984.191;4602822.554;4240794.972;Kyrgyzstan;
SONG;SONG;75.42273;41.91418;3416.028;1196994.657;4602816.896;4240797.318;Kyrgyzstan;
SOSN;SOSN;73.90076;42.64414;1222.677;1303242.065;4515413.487;4299334.870;Kyrgyzstan;
SOS4;SOSN;73.90078;42.64416;1223.213;1303240.967;4515413.033;4299336.475;Kyrgyzstan;
SRB6;SRBL;78.30672;42.78548;1669.066;950412.241;4592077.107;4311176.253;Kyrgyzstan;
SRB4;SRBL;78.30674;42.78554;1671.220;950410.230;4592069.789;4311191.588;Kyrgyzstan;
SRB5;SRBL;78.30672;42.78563;1673.908;950410.651;4592069.761;4311191.509;Kyrgyzstan;
SRBL;SRBL;78.30676;42.78577;1677.204;950406.208;4592062.749;4311204.845;Kyrgyzstan;
SRT4;SRTA;78.27457;43.22690;1884.442;946221.426;4558938.333;4347193.838;Kazakhstan;
STE4;SRTE;75.81392;42.12835;2324.707;1161437.527;4594650.818;4257746.674;Kyrgyzstan;
SRTE;SRTE;75.81393;42.12837;2323.869;1161436.902;4594648.778;4257747.785;Kyrgyzstan;
STE5;SRTE;75.81387;42.12838;2323.992;1161441.194;4594646.829;4257748.905;Kyrgyzstan;
SSR4;SSR4;77.89037;42.34908;1612.102;990628.342;4617079.966;4275425.708;Kyrgyzstan;
SUE4;SUEK;74.79087;42.26394;3118.268;1240787.642;4563982.041;4269443.128;Kyrgyzstan;
SUE5;SUEK;74.79089;42.26395;3118.408;1240785.465;4563982.466;4269443.513;Kyrgyzstan;
SUEK;SUEK;74.79084;42.26396;3118.608;1240789.442;4563980.722;4269444.515;Kyrgyzstan;
SUG4;SUGT;78.22586;43.43310;1244.146;946793.665;4542283.186;4363422.727;Kazakhstan;
SUM4;SUM4;80.41237;42.90635;1843.090;779547.113;4615017.053;4321141.612;Kazakhstan;
SUMK;SUMK;73.99711;44.20813;1012.172;1262671.013;4402617.006;4425403.620;Kazakhstan;
SUU6;SUUS;73.55488;42.20578;2381.747;1340021.697;4539799.383;4264162.769;Kyrgyzstan;
SUU5;SUUS;73.55481;42.20587;2381.538;1340025.588;4539791.015;4264170.095;Kyrgyzstan;
SUU4;SUUS;73.55481;42.20588;2381.517;1340024.870;4539791.145;4264170.144;Kyrgyzstan;
SUUS;SUUS;73.55533;42.20592;2382.191;1339983.126;4539800.198;4264174.660;Kyrgyzstan;
SYTA;SYTA;73.25712;39.73222;3166.419;1415669.902;4705873.931;4057188.757;Kyrgyzstan;
SYT4;SYTA;73.25708;39.73224;3166.757;1415672.964;4705872.180;4057190.227;Kyrgyzstan;
T010;T010;69.19920;38.03660;800.351;1786451.350;4702669.315;3909137.880;Tajikistan;
T014;T010;69.19922;38.03660;800.233;1786449.876;4702669.932;3909137.621;Tajikistan;
T015;T010;69.19925;38.03660;800.028;1786447.778;4702671.015;3909136.947;Tajikistan;
T025;T020;68.61632;37.93435;516.360;1836664.870;4690549.069;3900016.681;Tajikistan;
T020;T020;68.61634;37.93437;517.032;1836662.727;4690549.078;3900018.767;Tajikistan;
T024;T020;68.61638;37.93437;518.368;1836659.665;4690551.025;3900020.046;Tajikistan;
T035;T030;68.60959;38.74160;1397.352;1817192.625;4639214.530;3970858.179;Tajikistan;
T034;T030;68.60960;38.74161;1397.419;1817191.636;4639214.901;3970858.277;Tajikistan;
T030;T030;68.60963;38.74163;1398.145;1817188.943;4639215.081;3970860.466;Tajikistan;
T045;T040;68.53219;38.33441;1558.410;1833813.587;4663087.124;3935593.742;Tajikistan;
T040;T040;68.53220;38.33441;1558.211;1833811.854;4663086.946;3935594.431;Tajikistan;
T044;T040;68.53222;38.33443;1557.959;1833809.892;4663086.560;3935595.383;Tajikistan;
T050;T050;68.37073;39.08443;2171.136;1827925.010;4609928.949;4000966.138;Tajikistan;
T054;T050;68.37079;39.08444;2171.903;1827920.246;4609931.104;4000967.051;Tajikistan;
T055;T050;68.37079;39.08445;2171.868;1827919.819;4609930.550;4000967.823;Tajikistan;
T065;T060;68.85867;39.11221;2520.565;1787996.121;4623766.897;4003580.714;Tajikistan;
T060;T060;68.85867;39.11225;2521.302;1787995.189;4623764.999;4003584.472;Tajikistan;
T064;T060;68.85866;39.11228;2521.121;1787995.075;4623762.482;4003587.124;Tajikistan;
T070;T070;68.96733;38.85429;2455.881;1785673.665;4643921.766;3981273.946;Tajikistan;
T075;T070;68.96735;38.85429;2455.702;1785672.155;4643922.641;3981273.316;Tajikistan;
T074;T070;68.96737;38.85431;2455.729;1785670.082;4643922.031;3981274.990;Tajikistan;
T085;T080;69.22273;38.39308;690.078;1775805.551;4680432.824;3940162.392;Tajikistan;
T080;T080;69.22274;38.39308;689.323;1775803.851;4680432.987;3940161.711;Tajikistan;
T084;T080;69.22270;38.39312;690.183;1775806.545;4680429.748;3940165.747;Tajikistan;
T095;T094;68.66727;37.37258;343.516;1846300.119;4727534.429;3850543.928;Tajikistan;
T094;T094;68.66726;37.37260;343.470;1846300.831;4727533.041;3850545.282;Tajikistan;
T124;T120;69.42127;38.58522;1458.504;1755120.949;4674691.568;3957338.530;Tajikistan;
T125;T120;69.42124;38.58523;1458.753;1755123.329;4674690.151;3957339.542;Tajikistan;
T135;T130;68.54465;39.38914;1462.792;1805893.774;4595025.154;4026727.235;Tajikistan;
T130;T130;68.54464;39.38916;1463.353;1805894.176;4595023.930;4026729.340;Tajikistan;
T134;T130;68.54466;39.38916;1464.597;1805892.556;4595026.015;4026729.652;Tajikistan;
T144;T140;69.27910;38.78216;1298.318;1761835.582;4657423.904;3974305.443;Tajikistan;
T140;T140;69.27866;38.78264;1295.828;1761858.859;4657377.557;3974345.167;Tajikistan;
T150;T150;69.27726;38.85301;1422.274;1760273.838;4652843.655;3980514.881;Tajikistan;
T154;T150;69.27725;38.85303;1421.354;1760273.571;4652841.644;3980515.864;Tajikistan;
T155;T150;69.27725;38.85304;1421.349;1760273.614;4652841.092;3980516.477;Tajikistan;
T160;T160;69.68516;38.31401;905.995;1739922.211;4699879.294;3933413.036;Tajikistan;
T165;T160;69.68517;38.31402;906.164;1739920.918;4699879.474;3933413.663;Tajikistan;
T164;T160;69.68518;38.31403;906.313;1739920.294;4699878.959;3933414.789;Tajikistan;
T170;T170;70.20124;39.12044;1296.247;1678653.369;4662954.509;4003516.843;Tajikistan;
T175;T170;70.20131;39.12068;1322.415;1678648.720;4662959.516;4003554.451;Tajikistan;
T174;T170;70.20132;39.12069;1322.417;1678647.478;4662959.195;4003555.343;Tajikistan;
T185;T184;69.89168;38.14664;938.285;1726931.214;4716941.331;3918837.791;Tajikistan;
T184;T184;69.89171;38.14667;938.172;1726928.047;4716940.094;3918840.476;Tajikistan;
T195;T194;69.81918;37.92293;694.361;1738111.978;4728934.107;3899126.563;Tajikistan;
T205;T200;70.05623;38.86907;1230.659;1696422.340;4675153.332;3981782.673;Tajikistan;
T200;T200;70.05626;38.86908;1230.401;1696419.605;4675152.777;3981784.067;Tajikistan;
T204;T200;70.05626;38.86910;1230.191;1696419.410;4675151.904;3981784.832;Tajikistan;
T235;T230;70.76687;38.57602;2627.527;1645371.444;4716082.870;3957268.574;Tajikistan;
T234;T230;70.76683;38.57607;2628.698;1645374.091;4716079.480;3957273.310;Tajikistan;
T230;T230;70.76688;38.57607;2628.912;1645370.521;4716080.839;3957273.529;Tajikistan;
T240;T240;70.85100;39.22382;1612.990;1623367.800;4675073.150;4012616.656;Tajikistan;
T244;T240;70.85099;39.22384;1613.291;1623368.308;4675071.509;4012618.794;Tajikistan;
T245;T240;70.85106;39.22394;1609.840;1623359.836;4675063.874;4012625.577;Tajikistan;
T254;T250;71.67431;38.51772;2035.113;1571599.162;4744939.096;3951836.085;Tajikistan;
T250;T250;71.67505;38.51807;2047.294;1571533.132;4744945.927;3951873.578;Tajikistan;
T255;T250;71.67505;38.51809;2047.571;1571532.705;4744944.465;3951875.940;Tajikistan;
T265;T260;71.33656;39.24135;1802.507;1583343.653;4687634.668;4014244.884;Tajikistan;
T260;T260;71.33661;39.24137;1801.237;1583339.177;4687633.884;4014245.546;Tajikistan;
T264;T260;71.33662;39.24139;1801.061;1583338.096;4687632.903;4014246.795;Tajikistan;
T270;T270;71.66296;38.00318;2003.479;1583661.835;4778186.527;3906955.380;Tajikistan;
T274;T270;71.66293;38.00319;2004.754;1583663.858;4778185.733;3906957.601;Tajikistan;
T275;T270;71.66296;38.00320;2004.107;1583661.381;4778185.748;3906957.503;Tajikistan;
T285;T280;70.94619;38.89588;1877.787;1623156.976;4699648.316;3984506.137;Tajikistan;
T280;T280;70.94613;38.89613;1878.043;1623156.603;4699629.661;3984528.553;Tajikistan;
T284;T280;70.94616;38.89616;1878.138;1623153.453;4699628.895;3984530.872;Tajikistan;
T290;T290;71.61159;36.73005;2589.012;1615153.227;4858610.926;3794973.401;Tajikistan;
T294;T290;71.61158;36.73007;2589.142;1615153.226;4858609.492;3794975.455;Tajikistan;
T295;T290;71.61161;36.73007;2589.140;1615150.899;4858610.138;3794975.614;Tajikistan;
T314;T310;68.94942;38.66087;1507.029;1791689.645;4655222.443;3963929.802;Tajikistan;
T310;T310;68.94943;38.66087;1506.623;1791688.446;4655222.172;3963929.994;Tajikistan;
T315;T310;68.94949;38.66089;1504.953;1791682.903;4655221.599;3963930.487;Tajikistan;
T325;T320;71.92284;38.09541;2182.926;1560057.718;4779454.958;3915130.042;Tajikistan;
T320;T320;71.92281;38.09542;2182.088;1560059.888;4779452.379;3915130.941;Tajikistan;
T324;T320;71.92284;38.09543;2182.609;1560057.222;4779453.185;3915131.867;Tajikistan;
T335;T330;72.66785;39.49470;3156.088;1469001.423;4707116.845;4036856.905;Kyrgyzstan;
T334;T330;72.66788;39.49472;3157.238;1468998.990;4707117.398;4036858.978;Kyrgyzstan;
T350;T350;72.48319;38.31142;2577.229;1508869.995;4780632.320;3934222.657;Tajikistan;
T355;T350;72.48317;38.31143;2575.983;1508870.791;4780630.183;3934222.916;Tajikistan;
T354;T350;72.48320;38.31144;2576.250;1508868.050;4780630.232;3934224.338;Tajikistan;
T364;T360;73.12014;37.46103;4222.512;1472848.647;4853847.812;3860700.175;Tajikistan;
T365;T360;73.12010;37.46107;4221.982;1472851.145;4853843.956;3860703.173;Tajikistan;
T375;T370;72.76364;39.91755;2522.400;1452094.278;4680441.578;4072587.244;Kyrgyzstan;
T374;T370;72.76367;39.91757;2522.431;1452091.619;4680441.464;4072588.334;Kyrgyzstan;
T384;T380;73.27970;38.90241;3923.493;1430786.362;4762928.062;3986355.664;Tajikistan;
T385;T380;73.27973;38.90241;3923.085;1430784.163;4762928.491;3986355.290;Tajikistan;
T394;T390;73.42695;39.22587;4162.503;1412135.248;4745063.772;4014405.555;Tajikistan;
T390;T390;73.42696;39.22588;4162.599;1412134.116;4745063.721;4014406.163;Tajikistan;
T395;T390;73.42701;39.22589;4162.509;1412129.696;4745064.439;4014406.722;Tajikistan;
T404;T400;73.10576;38.55373;3667.002;1452222.334;4781555.937;3955980.868;Tajikistan;
T405;T400;73.10578;38.55375;3667.188;1452220.750;4781555.207;3955982.634;Tajikistan;
T414;T410;73.63795;38.14582;3524.318;1415634.602;4821702.207;3920362.794;Tajikistan;
T410;T410;73.63792;38.14584;3524.338;1415636.360;4821700.551;3920364.212;Tajikistan;
T424;T420;73.41513;37.79331;3879.034;1441330.179;4839513.508;3889717.151;Tajikistan;
T420;T420;73.41514;37.79332;3879.137;1441329.095;4839513.118;3889718.200;Tajikistan;
T425;T420;73.41518;37.79334;3879.405;1441325.699;4839512.888;3889720.173;Tajikistan;
T434;T430;74.06121;37.52287;4393.549;1391819.108;4873494.728;3866253.067;Tajikistan;
T435;T430;74.06123;37.52291;4392.646;1391816.296;4873492.018;3866256.041;Tajikistan;
T445;T440;73.61774;38.56026;4442.035;1409481.795;4794488.992;3957031.426;Tajikistan;
T444;T440;73.61770;38.56029;4442.479;1409484.994;4794486.475;3957034.035;Tajikistan;
T454;T450;74.82842;37.54021;3833.834;1326015.568;4890133.183;3867439.647;Tajikistan;
T450;T450;74.82845;37.54021;3834.814;1326013.252;4890134.452;3867440.450;Tajikistan;
T455;T450;74.82860;37.54028;3841.432;1326000.318;4890138.566;3867450.549;Tajikistan;
T465;T460;74.18469;37.83556;4227.450;1375492.137;4855931.593;3893638.449;Tajikistan;
T464;T460;74.18466;37.83559;4227.555;1375493.470;4855929.383;3893640.869;Tajikistan;
T475;T470;73.45951;38.95645;3918.975;1414757.420;4763775.643;3991022.351;Tajikistan;
T474;T470;73.45948;38.95646;3919.099;1414759.513;4763774.007;3991023.750;Tajikistan;
T504;T504;73.24326;39.63980;3191.826;1418703.343;4711827.773;4049304.444;Kyrgyzstan;
T515;T510;73.22966;39.79848;2865.878;1416499.957;4700466.125;4062654.041;Kyrgyzstan;
T514;T510;73.22967;39.79849;2866.384;1416499.228;4700465.865;4062655.353;Kyrgyzstan;
T524;T520;73.42595;39.92511;2301.048;1397692.914;4696235.235;4073088.616;Kyrgyzstan;
T525;T520;73.42589;39.92512;2300.999;1397697.713;4696232.679;4073089.798;Kyrgyzstan;
TAD5;TAD4;77.03998;42.11242;1802.152;1063038.425;4619228.920;4256083.973;Kyrgyzstan;
TAD4;TAD4;77.04001;42.11245;1801.990;1063035.721;4619227.667;4256085.756;Kyrgyzstan;
TALA;TALA;72.21045;42.44547;1498.518;1440489.967;4489412.153;4283257.527;Kyrgyzstan;
TALG;TALG;77.32713;43.29087;1325.708;1020317.369;4537519.073;4351988.396;Kazakhstan;
TAM4;TAM4;77.55330;42.13706;1700.262;1021200.421;4626700.484;4258045.906;Kyrgyzstan;
TAR4;TARG;66.51878;39.40613;898.766;1966552.784;4526813.281;4027829.051;Uzbekistan;
TARG;TARG;66.51870;39.40616;898.725;1966558.093;4526808.389;4027831.887;Uzbekistan;
TAR5;TARG;66.51874;39.40616;899.514;1966555.152;4526810.156;4027832.567;Uzbekistan;
TASC;TASC;69.29557;41.32805;439.690;1695945.358;4487138.511;4190140.678;China;
TAS4;TASH;69.55101;40.97262;474.518;1685010.158;4519015.542;4160441.942;Uzbekistan;
TAS5;TASH;69.55096;40.97263;474.353;1685013.550;4519013.292;4160442.754;Uzbekistan;
TASH;TASH;69.29557;41.32805;439.692;1695945.283;4487138.532;4190140.688;Uzbekistan;
TAXK;TAXK;75.21091;37.84696;3033.303;1287862.808;4878125.740;3893904.726;China;
TEG5;TEGE;76.59361;42.13703;2021.315;1098605.386;4609181.170;4258258.849;Kyrgyzstan;
TEG6;TEGE;76.59346;42.13709;2022.881;1098616.527;4609175.575;4258264.346;Kyrgyzstan;
TEG4;TEGE;76.59367;42.13724;2022.705;1098597.367;4609168.416;4258276.756;Kyrgyzstan;
TEGE;TEGE;76.59368;42.13727;2022.475;1098597.553;4609165.468;4258279.772;Kyrgyzstan;
TEK6;TEKL;78.84161;44.85529;1277.069;876626.108;4444220.800;4476863.221;Kazakhstan;
TEK5;TEKL;78.84161;44.85530;1277.219;876626.438;4444220.181;4476863.972;Kazakhstan;
TEKL;TEKL;78.84158;44.85531;1277.249;876628.305;4444218.591;4476865.287;Kazakhstan;
TEK4;TEKL;78.84158;44.85533;1277.909;876628.016;4444217.949;4476866.840;Kazakhstan;
TEK0;TEKL;78.84156;44.85535;1278.268;876628.968;4444216.289;4476868.901;Kazakhstan;
TEMR;TEMR;73.33268;41.78514;1083.848;1366308.909;4563600.072;4228560.862;Kyrgyzstan;
