Mark;Site;Longit_d;Latit_d;Altit_m;X_m;Y_m;Z_m;Country
EME4;EMEL;74.45159;41.82108;2057.29471;1276414.292;4587545.241;4232186.031;Kyrgyzstan
EMEL;EMEL;74.45161;41.82108;2056.84563;1276412.428;4587545.427;4232185.856;Kyrgyzstan
ENG4;KENG;76.42221;41.49432;2227.80895;1123602.403;4652304.038;4205175.838;Kyrgyzstan
ESE4;ESEK;80.30752;43.06082;2369.27958;786085.4985;4602425.707;4334058.118;Kazakhstan
GAK4;GAKJ;84.93062;48.22097;560.62053;376228.0999;4241145.967;4733699.53;Kazakhstan
GAK5;GAKJ;84.9305;48.22092;560.10572;376237.3969;4241148.508;4733695.922;Kazakhstan
GAKJ;GAKJ;84.93057;48.22097;560.42787;376231.7177;4241145.684;4733699.387;Kazakhstan
GARM;GARM;70.31667;39.00648;1303.84595;1671943.327;4673840.751;3993695.982;Tajikistan
GAZE;GAZE;75.47865;38.85268;1972.72618;1247470.739;4816205.295;3980831.045;China
GBL4;GBL4;78.78656;43.66366;680.41627;898785.3765;4533616.145;4381603.275;Kazakhstan
GCH4;GCHA;73.39418;41.77016;1027.42658;1361709.716;4566087.238;4227282.581;Kyrgyzstan
GCH5;GCHA;73.39413;41.77016;1026.34867;1361713.919;4566085.588;4227281.388;Kyrgyzstan
GCHA;GCHA;73.39418;41.77015;1027.5663;1361710.374;4566088.03;4227281.735;Kyrgyzstan
GEOR;GEOR;74.75432;42.99323;644.39197;1228788.86;4508483.72;4327391.684;Kazakhstan
GKO4;GKO4;76.7247;42.17114;1862.8036;1087445.91;4609092.805;4260962.07;Kyrgyzstan
GKU4;GKUL;78.92126;43.03907;1971.49015;897460.9084;4583394.822;4332020.705;Kazakhstan
GSO4;GSOG;78.62069;43.54619;822.48837;913703.2934;4539921.712;4372249.096;Kazakhstan
GTA4;GTAS;77.13883;42.07073;2700.01254;1055907.941;4624733.264;4253247.622;Kyrgyzstan
GTAS;GTAS;77.13883;42.07074;2700.19811;1055906.594;4624732.219;4253249.351;Kyrgyzstan
GUAO;GUAO;87.17731;43.47111;2028.70991;228379.0446;4631946.917;4367028.479;China
HAEJ;I074;76.88892;40.2044;1586.78224;1111704.522;4753411.512;4093551.106;China
HAMI;HAMI;93.62638;42.81025;734.83993;296442.721;4677458.301;4312561.111;China
HAMI;HAMI;93.62638;42.81025;734.83993;296442.721;4677458.301;4312561.111;China
HAN4;HANK;71.49685;40.3182;625.93501;1545656.748;4618627.313;4105394.683;Uzbekistan
HAN5;HANK;71.49687;40.31818;625.78277;1545655.484;4618629.133;4105392.887;Uzbekistan
HANK;HANK;71.49689;40.31816;625.53167;1545654.365;4618630.774;4105391.137;Uzbekistan
HEB4;SHEB;83.59017;49.82799;823.02575;460293.2675;4097258.465;4851098.134;Kazakhstan
HEB5;SHEB;83.5902;49.82799;822.88415;460290.7368;4097258.776;4851097.949;Kazakhstan
HETI;I087;79.96367;37.09796;1327.54748;887832.7338;5016542.92;3826870.697;China
HOD4;HODJ;77.47776;42.76206;1857.0568;1017161.724;4579706.45;4309393.608;Kyrgyzstan
HOD5;HODJ;77.47778;42.7621;1858.102;1017159.864;4579704.903;4309397.217;Kyrgyzstan
HODJ;HODJ;77.47774;42.76206;1857.10515;1017163.424;4579706.6;4309393.138;Kyrgyzstan
HOK4;CHOK;76.76744;42.64109;2005.86968;1075971.354;4575725.367;4299615.95;Kyrgyzstan
HON4;CHON;73.80219;42.42547;1966.7699;1315744.076;4529465.311;4281933.675;Kyrgyzstan
HRT4;CHRT;73.06652;42.49301;2088.48361;1372342.19;4507437.308;4287553.024;Kyrgyzstan
HSTO;HSTO;87.5447;43.8473;791.56717;197398.5973;4603586.609;4396419.655;China
HUM4;HUM4;69.94297;41.69746;885.80736;1635925.041;4480780.048;4221163.628;Uzbekistan
HUM5;HUM4;69.94296;41.69743;885.42836;1635926.248;4480782.059;4221160.472;Uzbekistan
I022;I022;86.86713;44.18342;476.99442;250396.046;4574789.067;4423062.876;China
I023;I023;86.2234;44.29449;406.48182;301205.4163;4563046.065;4431854.999;China
I026;I026;87.17087;43.2653;2061.71525;229676.1736;4647632.538;4350423.517;China
I028;I028;86.36309;42.35039;1088.98457;299512.1581;4712163.367;4275181.236;China
I03A;IV03;74.77351;42.8011;808.67252;1231126.381;4523030.793;4311865.276;Kyrgyzstan
I040;I040;81.0319;44.96812;1311.95999;704757.7579;4465755.639;4485769.361;China
I041;I041;82.12806;44.90013;424.77725;619842.1851;4483085.303;4479793.424;China
I042;I042;82.92806;44.62258;245.04833;559846.4782;4512730.255;4457765.694;China
I043;I043;83.91138;44.47201;441.99455;483579.0254;4533484.481;4445979.217;China
I044;I044;84.86712;44.3519;620.49443;408740.2107;4550350.374;4436569.459;China
I045;I045;84.3338;43.65166;2299.8052;456534.8423;4601348.824;4381756.368;China
I046;I046;82.51237;43.78853;1046.78831;601067.9597;4573191.669;4391884.199;China
I047;I047;81.38501;43.9353;627.32698;689190.7458;4549008.025;4403352.547;China
I048;I048;80.85946;44.06492;616.9231;729296.5658;4532608.855;4413706.707;China
I04A;IV04;74.86749;42.81081;780.01771;1223509.177;4524316.059;4312637.283;Kyrgyzstan
I050;I050;82.22475;43.47155;723.38457;627273.4532;4593965.346;4366166.158;China
I051;I051;84.54152;43.26862;1922.54734;442608.8303;4631850.2;4350597.261;China
I052;I052;81.12528;43.14168;1805.87185;719308.4572;4606702.919;4340234.371;China
I053;I053;84.15657;43.02901;2402.11155;475608.7951;4647236.742;4331497.252;China
I055;I055;81.8028;41.8149;1229.04474;678918.3235;4712998.559;4231122.273;China
I056;I056;84.24524;41.78034;915.53056;477687.5076;4739963.37;4228051.171;China
I057;I057;82.96947;41.71473;1006.82626;583704.2616;4733036.52;4222674.186;China
I057;I057;82.96946681;41.71472644;1006.78118;583704.2616;4733036.52;4222674.186;China
I058;I058;82.34579;41.48505;939.68557;637437.1486;4743140.959;4203550.72;China
I060;I060;82.78542;41.21634;919.10674;603500.2175;4767439.591;4181131.66;China
I061;I061;80.23866;41.14317;1047.27798;815667.9064;4741283.186;4175098.988;China
I062;I062;80.39246;40.64296;987.69441;809000.8049;4779272.139;4133061.814;China
I063;I063;84.33716;40.21682;879.59719;481320.7315;4854064.174;4096966.729;China
I064;I064;83.6098;39.01511;1040.14421;552386.1135;4932244.084;3994275.01;China
I065;I065;83.15905;38.25744;1140.44152;597435.8464;4979972.717;3928628.621;China
I067;I067;82.69583;37.04633;1371.24975;648142.2154;5056622.146;3822324.646;China
I068;I068;81.66431;36.83979;1366.22036;741065.9295;5057764.356;3803997.905;China
I072;I072;78.45139;40.9416;1945.98731;966224.5328;4728605.555;4158801.999;China
I073;I073;79.03528;40.50338;1115.15773;923907.1395;4768763.695;4121370.708;China
I073;I073;79.03527609;40.50339049;1115.54247;923907.1395;4768763.695;4121370.708;China
I074;I074;76.88892;40.2044;1626.5447;1106825.629;4752136.834;4096395.064;China
I075;I075;78.03688;39.71398;1088.17474;1018562.555;4807173.493;4054302.462;China
I076;I076;78.54008;39.77649;1071.5887;975420.4945;4811570.822;4059629.465;China
I077;I077;76.5124;39.80626;1173.74167;1144578.928;4772064.735;4062234.591;China
I078;I078;75.25018;39.71807;2136.04717;1251204.426;4752466.832;4055321.522;China
I079;I079;76.73425;39.49699;1159.66903;1131119.93;4797781.055;4035782.821;China
I081;I081;75.8987;39.1955;1272.13256;1206156.4;4801446.403;4009964.346;China
I082;I082;77.624;38.90355;1128.0223;1065402.115;4855422.942;3984698.11;China
I083;I083;76.17408;38.93539;1249.0001;1187410.279;4824844.501;3987525.396;China
I084;I084;77.27711;38.17394;1223.67756;1105910.797;4898187.928;3921395.902;China
I086;I086;78.24623;37.5587;1391.60775;1031474.537;4957366.659;3867580.291;China
I087;I087;79.96367;37.09796;1327.56726;887832.572;5016542.884;3826870.777;China
I089;I089;74.33638;39.84188;2466.95528;1324531.35;4723681.361;4066101.639;China
I090;I090;74.95093;38.66239;3270.05457;1295474.436;4818264.81;3965164.394;China
I09A;IV09;74.88161;42.71181;1332.10096;1224449.104;4532218.566;4304933.789;Kyrgyzstan
I09A;IV09;74.88158699;42.71179123;1330.75836;1224449.104;4532218.566;4304933.789;Kyrgyzstan
I10A;IV10;75.04435;42.66962;1289.22558;1212381.244;4538718.36;4301461.81;Kyrgyzstan
I23A;IV23;74.65718;42.75842;1111.80568;1241218.134;4523842.669;4308590.331;Kyrgyzstan
I24A;IV24;74.77184;42.77673;1011.09473;1231780.08;4524913.56;4310015.18;Kyrgyzstan
I25A;IV25;74.92507;42.77629;837.51422;1219650.545;4528100.448;4309861.456;Kyrgyzstan
I26A;IV26;74.94953;42.74295;1006.95515;1218402.099;4531169.07;4307257.412;Kyrgyzstan
I27A;IV27;75.13299;42.71818;1051.9108;1204375.003;4536884.354;4305265.901;Kyrgyzstan
I28A;IV28;74.9345;42.82977;752.28188;1217839.486;4524341.78;4314163.469;Kyrgyzstan
I29A;IV29;74.731;42.86007;708.98327;1233289.732;4517748.849;4316602.218;Kyrgyzstan
I30A;IV30;74.693;42.94554;623.31016;1234562.297;4510634.658;4323499.45;Kyrgyzstan
I31A;IV31;74.86784;42.92741;679.55851;1221161.263;4515745.125;4322063.174;Kyrgyzstan
I32A;IV32;74.63738;42.63982;1990.15403;1245319.636;4532653.091;4299501.393;Kyrgyzstan
I33A;IV33;74.62238;42.71954;1257.15015;1244771.129;4526017.53;4305516.397;Kyrgyzstan
I34A;IV34;74.50998;42.78538;962.68535;1252264.132;4518572.792;4310688.195;Kyrgyzstan
I35A;IV35;74.62249;42.809;873.75649;1242897.908;4519241.067;4312553.592;Kyrgyzstan
I368;I368;85.49971;43.11342;2863.60679;366070.1537;4651057.432;4338665.603;China
I36A;IV36;74.64569;42.66971;1494.84011;1243970.551;4530312.248;4301608.266;Kyrgyzstan
I37A;IV37;75.1354;42.58941;1600.77237;1206774.196;4546694.884;4295115.452;Kyrgyzstan
I8AA;I8AA;74.8374;42.75722;956.16161;1226976.314;4527701.17;4308387.243;Kyrgyzstan
IA14;IA14;74.85472;42.66526;1730.09613;1227566.636;4535311.094;4301404.062;Kyrgyzstan
IAT1;IAT1;74.85005;42.65764;1809.52185;1228101.478;4535820.973;4300835.519;Kyrgyzstan
IAT3;IAT3;74.85023;42.66034;1785.56999;1228029.453;4535611.501;4301040.026;Kyrgyzstan
IAT5;IAT5;74.85461;42.66049;1759.88423;1227675.063;4535676.469;4301034.562;Kyrgyzstan
IAT7;IAT7;74.85442;42.65763;1779.1364;1227749.76;4535893.874;4300814.049;Kyrgyzstan
IAT9;IAT9;74.85233;42.65906;1781.69712;1227887.862;4535746.715;4300932.657;Kyrgyzstan
IATA;IATA;74.84065;42.65309;1911.78631;1228955.528;4536022.977;4300532.499;Kyrgyzstan
ICH4;ICHK;76.50681;42.08371;2050.93845;1106518.541;4611396.273;4253883.396;Kyrgyzstan
ICH5;ICHK;76.50678;42.08369;2050.3702;1106521.213;4611396.922;4253881.152;Kyrgyzstan
ICHK;ICHK;76.50679;42.08371;2049.99813;1106520.517;4611394.864;4253883.007;Kyrgyzstan
IIR4;IIRS;74.16211;42.31353;2394.4572;1289638.226;4546009.142;4273032.567;Kyrgyzstan
IIR5;IIRS;74.16211;42.31352;2394.51537;1289638.892;4546010.144;4273031.356;Kyrgyzstan
IIRS;IIRS;74.16211;42.3135;2393.90539;1289638.863;4546010.918;4273029.652;Kyrgyzstan
IK01;IK01;74.77106;42.65474;1801.62469;1234410.384;4534328.517;4300593.041;Kyrgyzstan
IK02;IK02;74.76307;42.66694;1680.23764;1234777.075;4533184.474;4301507.235;Kyrgyzstan
IK03;IK03;74.7612;42.68302;1554.79121;1234582.578;4531886.417;4302736.035;Kyrgyzstan
IK04;IK04;74.75723;42.68846;1522.64382;1234781.988;4531382.694;4303158.725;Kyrgyzstan
IK05;IK05;74.76737;42.66147;1737.86883;1234556.255;4533714.739;4301100.088;Kyrgyzstan
IK06;IK06;74.76719;42.675;1611.3767;1234278.115;4532638.467;4302119.355;Kyrgyzstan
IKIZ;IKIZ;73.79601;39.65422;3141.68307;1372886.326;4724276.482;4050505.531;Kyrgyzstan
IKZ4;IKIZ;73.79602;39.6542;3142.00028;1372885.795;4724278.039;4050504.404;Kyrgyzstan
IKZ5;IKIZ;73.796;39.6542;3141.82994;1372887.548;4724277.289;4050504.415;Kyrgyzstan
ILI4;ILI0;78.1882;43.95269;855.90054;941556.747;4502344.22;4404902.723;Kazakhstan
IN10;IN10;79.81709;42.16551;3398.03443;837495.9878;4662577.573;4261529.342;Kazakhstan
INC1;INC1;86.53363;44.07784;788.27931;277518.7413;4581523.708;4414751.451;China
INC1;INC1;87.64951;43.83031;788.27931;277518.7413;4581523.708;4414751.451;China
INC2;INC2;82.66815;44.29331;636.23132;583652.1168;4536109.391;4432187.122;China
INC2;INC1;86.53363;44.07784;636.23132;583652.1168;4536109.391;4432187.122;China
INC3;INC3;82.63402;45.36667;886.5681;575559.4372;4452258.929;4516701.546;China
INT1;INT1;74.79196;42.66079;1764.67144;1232629.264;4534313.175;4301061.999;Kyrgyzstan
INT2;INT2;74.78759;42.66328;1726.9473;1232918.723;4534011.269;4301240.053;Kyrgyzstan
INT3;INT3;74.79239;42.66407;1730.82257;1232523.761;4534060.099;4301307.079;Kyrgyzstan
INT4;INT4;74.79057;42.66234;1743.1666;1232704.348;4534154.861;4301174.667;Kyrgyzstan
INY4;INYL;79.06994;42.01464;2562.18159;900236.4955;4661686.255;4248526.655;Kyrgyzstan
INY5;INYL;79.07112;42.01644;2567.02174;900115.9258;4661576.814;4248678.646;Kyrgyzstan
INY6;INYL;79.07117;42.0163;2567.5222;900113.5832;4661588.427;4248667.234;Kyrgyzstan
INYL;INYL;79.07097;42.0156;2564.65766;900139.5085;4661634.238;4248607.796;Kyrgyzstan
IP02;IP02;74.68644;42.68283;1571.28761;1240501.348;4530296.872;4302732.122;Kyrgyzstan
IP03;IP03;74.68302;42.68217;1525.63366;1240776.576;4530238.87;4302646.613;Kyrgyzstan
IP04;IP04;74.68176;42.68388;1513.59542;1240839.522;4530078.444;4302778.601;Kyrgyzstan
IP05;IP05;74.67706;42.6823;1393.76021;1241219.34;4530006.152;4302568.621;Kyrgyzstan
ISA4;ISAT;74.9108;42.61081;1761.44083;1224200.099;4540489.254;4296974.757;Kyrgyzstan
ISA5;ISAT;74.91081;42.61078;1761.87698;1224199.241;4540492.242;4296972.514;Kyrgyzstan
ISAT;ISAT;74.91082;42.61082;1761.78915;1224198.164;4540489.438;4296975.607;Kyrgyzstan
ISH4;ISHT;78.20971;41.60077;3498.26296;976528.8716;4678340.079;4214870.353;Kyrgyzstan
ISH5;ISHT;78.20971;41.60077;3498.26296;976510.5523;4678344.749;4214868.422;Kyrgyzstan
ISH6;ISHT;78.20971;41.60077;3498.26296;976525.735;4678342.631;4214867.067;Kyrgyzstan
ISHT;ISHT;78.20987;41.60078;3498.22397;976517.7657;4678341.294;4214871.758;Kyrgyzstan
ISY4;ISYK;77.49039;43.26079;1712.22494;1007940.988;4542920.013;4349819.07;Kazakhstan
ISY5;ISYK;77.49045;43.26077;1712.08238;1007936.108;4542922.141;4349817.763;Kazakhstan
ISY6;ISYK;77.4904;43.26082;1712.43164;1007939.781;4542917.881;4349821.85;Kazakhstan
ISYK;ISYK;77.4904;43.26079;1711.15826;1007940.914;4542919.152;4349818.79;Kazakhstan
IV01;IV01;74.49486;42.82196;810.50007;1252688.138;4515473.623;4313566.603;Kyrgyzstan
IV02;IV02;74.67695;42.85219;777.15497;1237721.33;4517205.749;4316007.017;Kyrgyzstan
IV03;IV03;74.77262;42.80154;809.47163;1231188.154;4522980.484;4311901.355;Kyrgyzstan
IV04;IV04;74.86749;42.81085;779.98182;1223508.569;4524313.168;4312640.426;Kyrgyzstan
IV05;IV05;75.03231;42.75392;944.10319;1211634.697;4532084.383;4308110.074;Kyrgyzstan
IV06;IV06;74.62535;42.75265;1110.74754;1243846.193;4523571.215;4308119.03;Kyrgyzstan
IV07;IV07;74.70044;42.7578;1163.33091;1237824.295;4524859.704;4308575.243;Kyrgyzstan
IV08;IV08;74.79229;42.73118;1214.88542;1231106.113;4528811.861;4306438.041;Kyrgyzstan
IV09;IV09;74.88194;42.71109;1341.90718;1224437.693;4532285.171;4304883.803;Kyrgyzstan
IV10;IV10;75.04438;42.67046;1290.0783;1212362.773;4538658.399;4301531.08;Kyrgyzstan
IV11;IV11;75.15099;42.64638;1423.06857;1204405.432;4542753.351;4299653.596;Kyrgyzstan
IV12;IV12;75.292;42.67733;1241.11645;1192598.379;4543320.92;4302055.753;Kyrgyzstan
IV13;IV13;74.42088;42.78406;921.26089;1259308.1;4516686.973;4310552.02;Kyrgyzstan
IV14;IV14;74.5838;42.65939;2302.5277;1249227.399;4530288.11;4301312.014;Kyrgyzstan
IV15;IV15;74.75558;42.68182;1570.73252;1235053.99;4531863.915;4302648.714;Kyrgyzstan
IV16;IV16;74.90016;42.66567;1672.60145;1223955.969;4536216.104;4301399.064;Kyrgyzstan
IV17;IV17;75.02623;42.60708;1509.6907;1215074.913;4543039.037;4296498.609;Kyrgyzstan
IV18;IV18;74.06874;42.6828;1305.36144;1289216.406;4516474.78;4302548.794;Kyrgyzstan
IV19;IV19;74.26158;42.66335;1393.14905;1274422.568;4522259.845;4301019.985;Kyrgyzstan
IV20;IV20;74.48527;42.65509;1639.01631;1256972.21;4527974.752;4300511.23;Kyrgyzstan
IV21;IV21;74.48343;42.59172;1917.33949;1258448.721;4532726.135;4295518.327;Kyrgyzstan
IV22;IV22;74.76733;42.66145;1736.48232;1234559.456;4533714.833;4301097.033;Kyrgyzstan
IV23;IV23;74.65719;42.75839;1111.89659;1241217.845;4523842.709;4308590.371;Kyrgyzstan
IV24;IV24;74.77179;42.77671;1011.51372;1231784.947;4524913.746;4310014.246;Kyrgyzstan
IV25;IV25;74.92505;42.77632;837.36445;1219650.979;4528097.522;4309864.172;Kyrgyzstan
IV26;IV26;74.94949;42.74295;1007.12644;1218405.516;4531168.574;4307257.217;Kyrgyzstan
IV27;IV27;75.13305;42.71816;1052.1329;1204370.854;4536886.946;4305264.665;Kyrgyzstan
IV28;IV28;74.9344;42.83025;758.46726;1217838.616;4524309.266;4314206.681;Kyrgyzstan
IV29;IV29;74.73104;42.86006;708.99241;1233286.562;4517750.524;4316601.82;Kyrgyzstan
IV30;IV30;74.69304;42.94557;623.42258;1234558.702;4510632.917;4323502.427;Kyrgyzstan
IV31;IV31;74.86785;42.92744;679.67342;1221160.978;4515745.214;4322063.226;Kyrgyzstan
IV32;IV32;74.63736;42.63986;1990.3481;1245321;4532649.893;4299504.634;Kyrgyzstan
IV33;IV33;74.62243;42.71954;1256.58083;1244766.973;4526018.108;4305516.146;Kyrgyzstan
IV34;IV34;74.50998;42.78542;962.46652;1252262.575;4518569.882;4310691.353;Kyrgyzstan
IV35;IV35;74.62247;42.80904;873.77287;1242898.83;4519237.907;4312556.644;Kyrgyzstan
IV36;IV36;74.64572;42.66972;1494.99134;1243967.719;4530312.668;4301608.851;Kyrgyzstan
IV37;IV37;75.13538;42.58942;1601.53001;1206775.966;4546694.21;4295116.787;Kyrgyzstan
IV7A;I7AA;74.71447;42.72345;1295.29664;1237425.348;4527755.227;4305861.1;Kyrgyzstan
IV8A;I8AA;74.83732;42.75706;958.9732;1226986.61;4527713.016;4308376.019;Kyrgyzstan
IV8B;IV8B;74.77511;42.70379;1385.82502;1233040.539;4530556.073;4304315.366;Kyrgyzstan
IVA1;IVA1;74.85014;42.65767;1807.42387;1228093.685;4535819.343;4300836.384;Kyrgyzstan
IVA2;IVA2;74.85034;42.6605;1782.25713;1228017.518;4535600.138;4301050.457;Kyrgyzstan
IVA3;IVA3;74.85456;42.66052;1758.39727;1227678.44;4535672.222;4301035.894;Kyrgyzstan
IVA4;IVA4;74.8545;42.65764;1777.23605;1227743.298;4535893.447;4300813.551;Kyrgyzstan
IVN1;IVN1;74.79092;42.66143;1752.06911;1232695.839;4534235.07;4301106.25;Kyrgyzstan
IVN2;IVN2;74.78952;42.66288;1730.49034;1232774.544;4534084.599;4301209.56;Kyrgyzstan
IVN3;IVN3;74.79163;42.66376;1729.20952;1232589.453;4534065.041;4301280.839;Kyrgyzstan
IVN4;IVN4;74.79227;42.66158;1754.11698;1232586.528;4534255.017;4301119.512;Kyrgyzstan
IYG4;IYGL;77.85357;42.79517;1944.95958;986589.4919;4583900.048;4312153.413;Kyrgyzstan
IYG5;IYGL;77.85346;42.79515;1944.59569;986598.0499;4583899.177;4312151.851;Kyrgyzstan
IYGL;IYGL;77.85351;42.79516;1944.3438;986593.8902;4583899.551;4312152.043;Kyrgyzstan
JAM4;JAMB;71.52584;42.90769;879.29823;1482853.185;4438430.705;4320594.419;Kazakhstan
JAM5;JAMB;71.52587;42.90767;879.77086;1482851.573;4438432.974;4320593.331;Kazakhstan
JAM6;JAMB;71.52582;42.90766;879.81894;1482855.111;4438432.877;4320592.31;Kazakhstan
JAMB;JAMB;71.52614;42.90781;882.58182;1482828.363;4438432.117;4320606.633;Kazakhstan
JAP4;JAPA;78.68144;43.25406;1478.1096;913360.3156;4563224.853;4349114.179;Kazakhstan
JAP4;JAPA;78.68144;43.25406;1478.1096;913360.3156;4563224.853;4349114.179;Kazakhstan
JAR4;JART;74.06691;42.45501;2198.68032;1294240.933;4533530.06;4284513.338;Kyrgyzstan
JAR5;JART;74.06685;42.45499;2199.71515;1294246.767;4533531.266;4284511.856;Kyrgyzstan
JART;JART;74.06699;42.45502;2194.98713;1294233.58;4533528.665;4284511.544;Kyrgyzstan
JB47;JB47;83.25679;43.39763;1023.63222;545116.1749;4610343.355;4360407.607;China
JB48;KSHI;75.9226;39.51662;1275.46309;1198653.274;4780017.975;4037539.008;China
JET4;JETY;78.27378;42.29651;2283.79288;960610.0454;4627943.092;4271558.774;Kyrgyzstan
JET5;JETY;78.27501;42.29736;2286.46364;960498.3626;4627903.052;4271630.806;Kyrgyzstan
JET6;JETY;78.27484;42.29658;2274.65389;960522.2045;4627948.617;4271558.896;Kyrgyzstan
JETY;JETY;78.27501;42.29715;2283.4229;960501.4701;4627916.131;4271611.179;Kyrgyzstan
JIAS;I079;76.73425;39.49699;1159.52565;1131119.992;4797780.82;4035782.597;China
JJO4;JJOL;75.33431;43.01096;1382.56799;1182885;4519913.578;4329335.163;Kazakhstan
JKT4;JKTY;76.48707;42.17862;2089.01645;1106460.787;4604163.501;4261729.957;Kyrgyzstan
JKT5;JKTY;76.48712;42.17858;2089.06141;1106457.924;4604167.761;4261726.192;Kyrgyzstan
JKTY;JKTY;76.48708;42.1786;2089.26175;1106460.424;4604165.367;4261728.42;Kyrgyzstan
JKU4;JKUL;80.13933;42.4024;2869.60529;808159.1763;4649383.336;4280644.887;Kazakhstan
JLK4;JLKL;73.68563;40.63661;1460.15458;1361861.411;4652868.805;4132834.246;Kyrgyzstan
JLK5;JLKL;73.68563;40.63658;1459.14023;1361861.451;4652870.078;4132831.27;Kyrgyzstan
JLK6;JLKL;73.68565;40.63661;1459.67246;1361859.278;4652868.987;4132833.997;Kyrgyzstan
JLKL;JLKL;73.68563;40.6366;1459.15533;1361861.695;4652868.958;4132832.512;Kyrgyzstan
JNI4;JNIS;78.22358;43.10416;2151.24012;952222.5043;4567419.884;4337427.464;Kazakhstan
JRU4;JRUY;76.77332;42.10857;2037.26828;1084630.827;4614680.844;4255923.851;Kyrgyzstan
JRU5;JRUY;76.7733;42.10853;2036.15881;1084633.476;4614682.378;4255919.87;Kyrgyzstan
JRUY;JRUY;76.77335;42.10858;2037.81019;1084628.545;4614680.676;4255925.423;Kyrgyzstan
JUA4;JUAN;75.64523;42.10498;1931.48863;1175320.153;4592615.452;4255557.096;Kyrgyzstan
JUA5;JUAN;75.64524;42.10498;1931.66391;1175318.956;4592615.665;4255557.453;Kyrgyzstan
JUA6;JUAN;75.64527;42.10496;1931.7948;1175317.265;4592618.307;4255555.27;Kyrgyzstan
JUAN;JUAN;75.64527;42.10497;1931.07908;1175316.935;4592617.211;4255556.709;Kyrgyzstan
K011;K010;58.40369;50.44244;342.52373;2132536.202;3466887.75;4894541.213;Kazakhstan
K011;K010;58.40369;50.44244;342.52373;2132536.202;3466887.75;4894541.213;Kazakhstan
K020;K020;58.5595;48.89103;360.76263;2191718.398;3584909.928;4782871.663;Kazakhstan
K020;K020;58.5595;48.89103;360.76263;2191718.398;3584909.928;4782871.663;Kazakhstan
K021;K020;58.55947;48.89107;360.18911;2191718.615;3584905.94;4782873.802;Kazakhstan
K021;K020;58.55947;48.89107;360.18911;2191718.615;3584905.94;4782873.802;Kazakhstan
K022;K020;58.55952;48.89104;360.56352;2191716.889;3584910.376;4782871.853;Kazakhstan
K022;K020;58.55952;48.89104;360.56352;2191716.889;3584910.376;4782871.853;Kazakhstan
K030;K030;61.59343;51.83507;263.34614;1878908.615;3474016.406;4991691.3;Kazakhstan
K030;K030;61.59343;51.83507;263.34614;1878908.615;3474016.406;4991691.3;Kazakhstan
K031;K030;61.59361;51.83501;263.59288;1878899.909;3474026.764;4991687.775;Kazakhstan
K031;K030;61.59361;51.83501;263.59288;1878899.909;3474026.764;4991687.775;Kazakhstan
K032;K030;61.59347;51.83508;263.30678;1878905.699;3474016.639;4991692.248;Kazakhstan
K032;K030;61.59347;51.83508;263.30678;1878905.699;3474016.639;4991692.248;Kazakhstan
K040;K040;60.40085;50.60788;370.89071;2003411.172;3526763.333;4906264.014;Kazakhstan
K040;K040;60.40085;50.60788;370.89071;2003411.172;3526763.333;4906264.014;Kazakhstan
K041;K040;60.40083;50.60798;370.91968;2003408.257;3526755.379;4906270.992;Kazakhstan
K041;K040;60.40083;50.60798;370.91968;2003408.257;3526755.379;4906270.992;Kazakhstan
K042;K040;60.4008;50.60789;370.41605;2003414.003;3526761.044;4906263.96;Kazakhstan
K042;K040;60.4008;50.60789;370.41605;2003414.003;3526761.044;4906263.96;Kazakhstan
K050;K050;66.31608;51.75098;195.49245;1589441.505;3623611.308;4985851.19;Kazakhstan
K051;K050;66.31612;51.751;195.70567;1589438.17;3623610.96;4985852.711;Kazakhstan
K052;K050;66.31612;51.75103;195.19755;1589437.363;3623608.36;4985854.276;Kazakhstan
K070;K070;65.79501;48.05179;341.07343;1751393.277;3896118.376;4720981.49;Kazakhstan
K071;K070;65.79505;48.05181;341.29305;1751389.549;3896118.266;4720983.234;Kazakhstan
K072;K070;65.79506;48.05178;341.17143;1751390.114;3896120.708;4720980.901;Kazakhstan
K080;K080;70.01941;49.01301;475.12759;1432296.343;3939351.842;4791866.68;Kazakhstan
K081;K080;70.01944;49.01301;475.22946;1432293.894;3939352.84;4791866.705;Kazakhstan
K082;K080;70.01944;49.01301;475.22946;1432295.23;3939353.235;4791865.767;Kazakhstan
K090;K090;66.46171;47.8275;583.83531;1713399.889;3933359.332;4704453.294;Kazakhstan
K091;K090;66.46178;47.8276;583.06581;1713391.347;3933353.185;4704460.435;Kazakhstan
K092;K090;66.46163;47.82752;583.96393;1713404.612;3933355.485;4704454.986;Kazakhstan
K100;K100;67.17572;44.4012;184.48235;1770608.928;4207120.87;4440179.767;Kazakhstan
K101;K100;67.17568;44.40124;184.27316;1770610.887;4207116.38;4440182.962;Kazakhstan
K102;K100;67.17569;44.40122;184.18773;1770610.963;4207118.194;4440181.103;Kazakhstan
K110;K110;69.03425;43.37623;447.6798;1661552.221;4336235.639;4358284.293;Kazakhstan
K111;K110;69.03425;43.37628;448.06739;1661550.43;4336232.746;4358288.404;Kazakhstan
K112;K110;69.03429;43.37622;447.00654;1661549.357;4336237.374;4358282.718;Kazakhstan
K120;K120;69.64971;43.50434;758.93909;1611552.454;4344868.298;4368834.185;Kazakhstan
